patient_num,z,x,y
47,50,0,102
47,50,0,153
47,50,0,204
47,50,51,0
47,50,51,51
47,50,51,102
47,50,51,153
47,50,51,204
47,50,51,255
47,50,102,0
47,50,102,51
47,50,102,102
47,50,102,153
47,50,102,204
47,50,102,255
47,50,153,0
47,50,153,51
47,50,153,102
47,50,153,153
47,50,153,204
47,50,153,255
47,50,204,0
47,50,204,51
47,50,204,102
47,50,204,153
47,50,204,204
47,50,204,255
47,50,255,0
47,50,255,51
47,50,255,102
47,50,255,153
47,50,255,204
47,50,255,255
47,58,0,0
47,58,0,51
47,58,0,102
47,58,0,153
47,58,0,204
47,58,51,0
47,58,51,51
47,58,51,102
47,58,51,153
47,58,51,204
47,58,51,255
47,58,102,0
47,58,102,51
47,58,102,102
47,58,102,153
47,58,102,204
47,58,102,255
47,58,153,0
47,58,153,51
47,58,153,102
47,58,153,153
47,58,153,204
47,58,153,255
47,58,204,0
47,58,204,51
47,58,204,102
47,58,204,153
47,58,204,204
47,58,204,255
47,58,255,0
47,58,255,51
47,58,255,102
47,58,255,153
47,58,255,204
47,58,255,255
47,66,0,0
47,66,0,51
47,66,0,102
47,66,0,153
47,66,0,204
47,66,51,0
47,66,51,51
47,66,51,102
47,66,51,153
47,66,51,204
47,66,51,255
47,66,102,0
47,66,102,51
47,66,102,102
47,66,102,153
47,66,102,204
47,66,102,255
47,66,153,0
47,66,153,51
47,66,153,102
47,66,153,153
47,66,153,204
47,66,153,255
47,66,204,0
47,66,204,51
47,66,204,102
47,66,204,153
47,66,204,204
47,66,204,255
47,66,255,0
47,66,255,51
47,66,255,102
47,66,255,153
47,66,255,204
47,66,255,255
47,74,0,0
47,74,0,51
47,74,0,102
47,74,0,153
47,74,0,204
47,74,51,0
47,74,51,51
47,74,51,102
47,74,51,153
47,74,51,204
47,74,51,255
47,74,102,0
47,74,102,51
47,74,102,102
47,74,102,153
47,74,102,204
47,74,102,255
47,74,153,0
47,74,153,51
47,74,153,102
47,74,153,153
47,74,153,204
47,74,153,255
47,74,204,0
47,74,204,51
47,74,204,102
47,74,204,153
47,74,204,204
47,74,204,255
47,74,255,0
47,74,255,51
47,74,255,102
47,74,255,153
47,74,255,204
47,74,255,255
47,82,0,0
47,82,0,51
47,82,0,102
47,82,0,153
47,82,0,204
47,82,51,0
47,82,51,51
47,82,51,102
47,82,51,153
47,82,51,204
47,82,51,255
47,82,102,0
47,82,102,51
47,82,102,102
47,82,102,153
47,82,102,204
47,82,102,255
47,82,153,0
47,82,153,51
47,82,153,102
47,82,153,153
47,82,153,204
47,82,153,255
47,82,204,0
47,82,204,51
47,82,204,102
47,82,204,153
47,82,204,204
47,82,204,255
47,82,255,0
47,82,255,51
47,82,255,102
47,82,255,153
47,82,255,204
47,82,255,255
47,90,51,0
47,90,51,51
47,90,51,102
47,90,51,153
47,90,102,0
47,90,102,51
47,90,102,102
47,90,102,153
47,90,153,0
47,90,153,51
47,90,153,102
47,90,153,153
47,90,204,0
47,90,204,51
47,90,204,102
47,90,204,153
47,90,255,0
47,90,255,51
47,90,255,102
47,90,255,153
21,4,0,0
21,4,0,51
21,4,0,102
21,4,51,0
21,4,51,51
21,4,51,102
21,4,102,0
21,4,102,51
21,4,102,102
21,4,153,0
21,4,153,51
21,4,153,102
21,4,204,0
21,4,204,51
21,4,204,102
21,4,255,0
21,4,255,51
21,4,255,102
21,20,0,0
21,20,0,51
21,20,0,102
21,20,51,0
21,20,51,51
21,20,51,102
21,20,51,153
21,20,102,0
21,20,102,51
21,20,102,102
21,20,102,153
21,20,153,0
21,20,153,51
21,20,153,102
21,20,153,153
21,20,204,0
21,20,204,51
21,20,204,102
21,20,204,153
21,20,255,0
21,20,255,51
21,20,255,102
21,20,255,153
21,36,0,0
21,36,0,51
21,36,0,102
21,36,51,0
21,36,51,51
21,36,51,102
21,36,51,153
21,36,102,0
21,36,102,51
21,36,102,102
21,36,102,153
21,36,153,0
21,36,153,51
21,36,153,102
21,36,153,153
21,36,204,0
21,36,204,51
21,36,204,102
21,36,204,153
21,36,255,0
21,36,255,51
21,36,255,102
21,36,255,153
21,52,0,0
21,52,0,51
21,52,0,102
21,52,0,153
21,52,51,0
21,52,51,51
21,52,51,102
21,52,51,153
21,52,102,0
21,52,102,51
21,52,102,102
21,52,102,153
21,52,153,0
21,52,153,51
21,52,153,102
21,52,153,153
21,52,204,0
21,52,204,51
21,52,204,102
21,52,204,153
21,52,255,0
21,52,255,51
21,52,255,102
21,52,255,153
21,68,0,0
21,68,0,51
21,68,0,102
21,68,0,153
21,68,51,0
21,68,51,51
21,68,51,102
21,68,51,153
21,68,102,0
21,68,102,51
21,68,102,102
21,68,102,153
21,68,153,0
21,68,153,51
21,68,153,102
21,68,153,153
21,68,204,0
21,68,204,51
21,68,204,102
21,68,204,153
21,68,255,0
21,68,255,51
21,68,255,102
21,68,255,153
21,84,0,0
21,84,0,51
21,84,0,102
21,84,0,153
21,84,51,0
21,84,51,51
21,84,51,102
21,84,51,153
21,84,51,204
21,84,102,0
21,84,102,51
21,84,102,102
21,84,102,153
21,84,102,204
21,84,153,0
21,84,153,51
21,84,153,102
21,84,153,153
21,84,153,204
21,84,204,0
21,84,204,51
21,84,204,102
21,84,204,153
21,84,204,204
21,84,255,0
21,84,255,51
21,84,255,102
21,84,255,153
21,84,255,204
21,100,0,0
21,100,0,51
21,100,0,102
21,100,0,153
21,100,51,0
21,100,51,51
21,100,51,102
21,100,51,153
21,100,51,204
21,100,102,0
21,100,102,51
21,100,102,102
21,100,102,153
21,100,102,204
21,100,153,0
21,100,153,51
21,100,153,102
21,100,153,153
21,100,153,204
21,100,204,0
21,100,204,51
21,100,204,102
21,100,204,153
21,100,204,204
21,100,255,0
21,100,255,51
21,100,255,102
21,100,255,153
21,100,255,204
21,116,0,0
21,116,0,51
21,116,0,102
21,116,0,153
21,116,0,204
21,116,51,0
21,116,51,51
21,116,51,102
21,116,51,153
21,116,51,204
21,116,102,0
21,116,102,51
21,116,102,102
21,116,102,153
21,116,102,204
21,116,102,255
21,116,153,0
21,116,153,51
21,116,153,102
21,116,153,153
21,116,153,204
21,116,153,255
21,116,204,0
21,116,204,51
21,116,204,102
21,116,204,153
21,116,204,204
21,116,204,255
21,116,255,0
21,116,255,51
21,116,255,102
21,116,255,153
21,116,255,204
21,116,255,255
21,132,0,0
21,132,0,51
21,132,0,102
21,132,0,153
21,132,0,204
21,132,51,0
21,132,51,51
21,132,51,102
21,132,51,153
21,132,51,204
21,132,51,255
21,132,102,0
21,132,102,51
21,132,102,102
21,132,102,153
21,132,102,204
21,132,102,255
21,132,153,0
21,132,153,51
21,132,153,102
21,132,153,153
21,132,153,204
21,132,153,255
21,132,204,0
21,132,204,51
21,132,204,102
21,132,204,153
21,132,204,204
21,132,204,255
21,132,255,0
21,132,255,51
21,132,255,102
21,132,255,153
21,132,255,204
21,132,255,255
21,148,0,0
21,148,0,51
21,148,0,102
21,148,0,153
21,148,0,204
21,148,51,0
21,148,51,51
21,148,51,102
21,148,51,153
21,148,51,204
21,148,51,255
21,148,102,0
21,148,102,51
21,148,102,102
21,148,102,153
21,148,102,204
21,148,102,255
21,148,153,0
21,148,153,51
21,148,153,102
21,148,153,153
21,148,153,204
21,148,153,255
21,148,204,0
21,148,204,51
21,148,204,102
21,148,204,153
21,148,204,204
21,148,204,255
21,148,255,0
21,148,255,51
21,148,255,102
21,148,255,153
21,148,255,204
21,148,255,255
21,164,0,0
21,164,0,51
21,164,0,102
21,164,0,153
21,164,51,0
21,164,51,51
21,164,51,102
21,164,51,153
21,164,51,204
21,164,51,255
21,164,102,0
21,164,102,51
21,164,102,102
21,164,102,153
21,164,102,204
21,164,102,255
21,164,153,0
21,164,153,51
21,164,153,102
21,164,153,153
21,164,153,204
21,164,153,255
21,164,204,0
21,164,204,51
21,164,204,102
21,164,204,153
21,164,204,204
21,164,204,255
21,164,255,0
21,164,255,51
21,164,255,102
21,164,255,153
21,164,255,204
21,164,255,255
79,4,0,153
79,4,0,204
79,4,0,255
79,4,51,153
79,4,51,204
79,4,51,255
79,4,102,153
79,4,102,204
79,4,102,255
79,4,153,153
79,4,153,204
79,4,153,255
79,4,204,153
79,4,204,204
79,4,204,255
79,4,255,153
79,4,255,204
79,4,255,255
79,9,0,153
79,9,0,204
79,9,0,255
79,9,51,153
79,9,51,204
79,9,51,255
79,9,102,153
79,9,102,204
79,9,102,255
79,9,153,153
79,9,153,204
79,9,153,255
79,9,204,153
79,9,204,204
79,9,204,255
79,9,255,153
79,9,255,204
79,9,255,255
79,14,0,153
79,14,0,204
79,14,0,255
79,14,51,153
79,14,51,204
79,14,51,255
79,14,102,153
79,14,102,204
79,14,102,255
79,14,153,153
79,14,153,204
79,14,153,255
79,14,204,153
79,14,204,204
79,14,204,255
79,14,255,153
79,14,255,204
79,14,255,255
79,19,0,153
79,19,0,204
79,19,0,255
79,19,51,102
79,19,51,153
79,19,51,204
79,19,51,255
79,19,102,102
79,19,102,153
79,19,102,204
79,19,102,255
79,19,153,102
79,19,153,153
79,19,153,204
79,19,153,255
79,19,204,102
79,19,204,153
79,19,204,204
79,19,204,255
79,19,255,102
79,19,255,153
79,19,255,204
79,19,255,255
79,24,0,153
79,24,0,204
79,24,0,255
79,24,51,102
79,24,51,153
79,24,51,204
79,24,51,255
79,24,102,102
79,24,102,153
79,24,102,204
79,24,102,255
79,24,153,102
79,24,153,153
79,24,153,204
79,24,153,255
79,24,204,102
79,24,204,153
79,24,204,204
79,24,204,255
79,24,255,102
79,24,255,153
79,24,255,204
79,24,255,255
79,29,0,102
79,29,0,153
79,29,0,204
79,29,0,255
79,29,51,102
79,29,51,153
79,29,51,204
79,29,51,255
79,29,102,102
79,29,102,153
79,29,102,204
79,29,102,255
79,29,153,102
79,29,153,153
79,29,153,204
79,29,153,255
79,29,204,102
79,29,204,153
79,29,204,204
79,29,204,255
79,29,255,102
79,29,255,153
79,29,255,204
79,29,255,255
79,34,0,102
79,34,0,153
79,34,0,204
79,34,0,255
79,34,51,102
79,34,51,153
79,34,51,204
79,34,51,255
79,34,102,102
79,34,102,153
79,34,102,204
79,34,102,255
79,34,153,102
79,34,153,153
79,34,153,204
79,34,153,255
79,34,204,102
79,34,204,153
79,34,204,204
79,34,204,255
79,34,255,102
79,34,255,153
79,34,255,204
79,34,255,255
79,39,0,102
79,39,0,153
79,39,0,204
79,39,0,255
79,39,51,51
79,39,51,102
79,39,51,153
79,39,51,204
79,39,51,255
79,39,102,51
79,39,102,102
79,39,102,153
79,39,102,204
79,39,102,255
79,39,153,51
79,39,153,102
79,39,153,153
79,39,153,204
79,39,153,255
79,39,204,51
79,39,204,102
79,39,204,153
79,39,204,204
79,39,204,255
79,39,255,51
79,39,255,102
79,39,255,153
79,39,255,204
79,39,255,255
79,44,0,102
79,44,0,153
79,44,0,204
79,44,0,255
79,44,51,51
79,44,51,102
79,44,51,153
79,44,51,204
79,44,51,255
79,44,102,0
79,44,102,51
79,44,102,102
79,44,102,153
79,44,102,204
79,44,102,255
79,44,153,0
79,44,153,51
79,44,153,102
79,44,153,153
79,44,153,204
79,44,153,255
79,44,204,0
79,44,204,51
79,44,204,102
79,44,204,153
79,44,204,204
79,44,204,255
79,44,255,0
79,44,255,51
79,44,255,102
79,44,255,153
79,44,255,204
79,44,255,255
79,49,0,102
79,49,0,153
79,49,0,204
79,49,0,255
79,49,51,51
79,49,51,102
79,49,51,153
79,49,51,204
79,49,51,255
79,49,102,0
79,49,102,51
79,49,102,102
79,49,102,153
79,49,102,204
79,49,102,255
79,49,153,0
79,49,153,51
79,49,153,102
79,49,153,153
79,49,153,204
79,49,153,255
79,49,204,0
79,49,204,51
79,49,204,102
79,49,204,153
79,49,204,204
79,49,204,255
79,49,255,0
79,49,255,51
79,49,255,102
79,49,255,153
79,49,255,204
79,49,255,255
79,54,0,102
79,54,0,153
79,54,0,204
79,54,0,255
79,54,51,51
79,54,51,102
79,54,51,153
79,54,51,204
79,54,51,255
79,54,102,0
79,54,102,51
79,54,102,102
79,54,102,153
79,54,102,204
79,54,102,255
79,54,153,0
79,54,153,51
79,54,153,102
79,54,153,153
79,54,153,204
79,54,153,255
79,54,204,0
79,54,204,51
79,54,204,102
79,54,204,153
79,54,204,204
79,54,204,255
79,54,255,0
79,54,255,51
79,54,255,102
79,54,255,153
79,54,255,204
79,54,255,255
79,59,0,102
79,59,0,153
79,59,0,204
79,59,0,255
79,59,51,51
79,59,51,102
79,59,51,153
79,59,51,204
79,59,51,255
79,59,102,0
79,59,102,51
79,59,102,102
79,59,102,153
79,59,102,204
79,59,102,255
79,59,153,0
79,59,153,51
79,59,153,102
79,59,153,153
79,59,153,204
79,59,153,255
79,59,204,0
79,59,204,51
79,59,204,102
79,59,204,153
79,59,204,204
79,59,204,255
79,59,255,0
79,59,255,51
79,59,255,102
79,59,255,153
79,59,255,204
79,59,255,255
110,4,0,0
110,4,0,51
110,4,0,102
110,4,51,0
110,4,51,51
110,4,51,102
110,4,102,0
110,4,102,51
110,4,102,102
110,4,153,0
110,4,153,51
110,4,153,102
110,4,204,0
110,4,204,51
110,4,204,102
110,4,255,0
110,4,255,51
110,4,255,102
110,22,0,0
110,22,0,51
110,22,0,102
110,22,51,0
110,22,51,51
110,22,51,102
110,22,102,0
110,22,102,51
110,22,102,102
110,22,153,0
110,22,153,51
110,22,153,102
110,22,204,0
110,22,204,51
110,22,204,102
110,22,255,0
110,22,255,51
110,22,255,102
110,40,0,0
110,40,0,51
110,40,0,102
110,40,0,153
110,40,51,0
110,40,51,51
110,40,51,102
110,40,51,153
110,40,102,0
110,40,102,51
110,40,102,102
110,40,102,153
110,40,153,0
110,40,153,51
110,40,153,102
110,40,153,153
110,40,204,0
110,40,204,51
110,40,204,102
110,40,204,153
110,40,255,0
110,40,255,51
110,40,255,102
110,40,255,153
110,58,0,0
110,58,0,51
110,58,0,102
110,58,0,153
110,58,51,0
110,58,51,51
110,58,51,102
110,58,51,153
110,58,102,0
110,58,102,51
110,58,102,102
110,58,102,153
110,58,153,0
110,58,153,51
110,58,153,102
110,58,153,153
110,58,204,0
110,58,204,51
110,58,204,102
110,58,204,153
110,58,255,0
110,58,255,51
110,58,255,102
110,58,255,153
110,76,0,0
110,76,0,51
110,76,0,102
110,76,0,153
110,76,0,204
110,76,51,0
110,76,51,51
110,76,51,102
110,76,51,153
110,76,51,204
110,76,102,0
110,76,102,51
110,76,102,102
110,76,102,153
110,76,102,204
110,76,153,0
110,76,153,51
110,76,153,102
110,76,153,153
110,76,153,204
110,76,204,0
110,76,204,51
110,76,204,102
110,76,204,153
110,76,204,204
110,76,255,0
110,76,255,51
110,76,255,102
110,76,255,153
110,76,255,204
110,94,0,0
110,94,0,51
110,94,0,102
110,94,0,153
110,94,0,204
110,94,0,255
110,94,51,0
110,94,51,51
110,94,51,102
110,94,51,153
110,94,51,204
110,94,51,255
110,94,102,0
110,94,102,51
110,94,102,102
110,94,102,153
110,94,102,204
110,94,102,255
110,94,153,0
110,94,153,51
110,94,153,102
110,94,153,153
110,94,153,204
110,94,153,255
110,94,204,0
110,94,204,51
110,94,204,102
110,94,204,153
110,94,204,204
110,94,255,0
110,94,255,51
110,94,255,102
110,94,255,153
110,94,255,204
110,112,0,0
110,112,0,51
110,112,0,102
110,112,0,153
110,112,0,204
110,112,0,255
110,112,51,0
110,112,51,51
110,112,51,102
110,112,51,153
110,112,51,204
110,112,51,255
110,112,102,0
110,112,102,51
110,112,102,102
110,112,102,153
110,112,102,204
110,112,102,255
110,112,153,0
110,112,153,51
110,112,153,102
110,112,153,153
110,112,153,204
110,112,153,255
110,112,204,0
110,112,204,51
110,112,204,102
110,112,204,153
110,112,204,204
110,112,204,255
110,112,255,0
110,112,255,51
110,112,255,102
110,112,255,153
110,112,255,204
110,112,255,255
110,130,0,0
110,130,0,51
110,130,0,102
110,130,0,153
110,130,0,204
110,130,0,255
110,130,51,0
110,130,51,51
110,130,51,102
110,130,51,153
110,130,51,204
110,130,51,255
110,130,102,0
110,130,102,51
110,130,102,102
110,130,102,153
110,130,102,204
110,130,102,255
110,130,153,0
110,130,153,51
110,130,153,102
110,130,153,153
110,130,153,204
110,130,153,255
110,130,204,0
110,130,204,51
110,130,204,102
110,130,204,153
110,130,204,204
110,130,204,255
110,130,255,0
110,130,255,51
110,130,255,102
110,130,255,153
110,130,255,204
110,130,255,255
110,148,0,0
110,148,0,51
110,148,0,102
110,148,0,153
110,148,0,204
110,148,0,255
110,148,51,0
110,148,51,51
110,148,51,102
110,148,51,153
110,148,51,204
110,148,51,255
110,148,102,0
110,148,102,51
110,148,102,102
110,148,102,153
110,148,102,204
110,148,102,255
110,148,153,0
110,148,153,51
110,148,153,102
110,148,153,153
110,148,153,204
110,148,153,255
110,148,204,0
110,148,204,51
110,148,204,102
110,148,204,153
110,148,204,204
110,148,204,255
110,148,255,0
110,148,255,51
110,148,255,102
110,148,255,153
110,148,255,204
110,148,255,255
110,166,0,0
110,166,0,51
110,166,0,102
110,166,0,153
110,166,0,204
110,166,0,255
110,166,51,0
110,166,51,51
110,166,51,102
110,166,51,153
110,166,51,204
110,166,51,255
110,166,102,0
110,166,102,51
110,166,102,102
110,166,102,153
110,166,102,204
110,166,102,255
110,166,153,0
110,166,153,51
110,166,153,102
110,166,153,153
110,166,153,204
110,166,153,255
110,166,204,0
110,166,204,51
110,166,204,102
110,166,204,153
110,166,204,204
110,166,204,255
110,166,255,0
110,166,255,51
110,166,255,102
110,166,255,153
110,166,255,204
110,166,255,255
110,184,0,0
110,184,0,51
110,184,0,102
110,184,0,153
110,184,0,204
110,184,0,255
110,184,51,0
110,184,51,51
110,184,51,102
110,184,51,153
110,184,51,204
110,184,51,255
110,184,102,0
110,184,102,51
110,184,102,102
110,184,102,153
110,184,102,204
110,184,102,255
110,184,153,0
110,184,153,51
110,184,153,102
110,184,153,153
110,184,153,204
110,184,153,255
110,184,204,0
110,184,204,51
110,184,204,102
110,184,204,153
110,184,204,204
110,184,204,255
110,184,255,0
110,184,255,51
110,184,255,102
110,184,255,153
110,184,255,204
110,184,255,255
52,2,0,0
52,2,0,51
52,2,0,102
52,2,51,0
52,2,51,51
52,2,51,102
52,2,102,0
52,2,102,51
52,2,102,102
52,2,102,153
52,2,153,0
52,2,153,51
52,2,153,102
52,2,153,153
52,2,204,0
52,2,204,51
52,2,204,102
52,2,204,153
52,2,255,0
52,2,255,51
52,2,255,102
52,2,255,153
52,7,0,0
52,7,0,51
52,7,0,102
52,7,0,153
52,7,51,0
52,7,51,51
52,7,51,102
52,7,51,153
52,7,102,0
52,7,102,51
52,7,102,102
52,7,102,153
52,7,102,204
52,7,153,0
52,7,153,51
52,7,153,102
52,7,153,153
52,7,153,204
52,7,204,0
52,7,204,51
52,7,204,102
52,7,204,153
52,7,204,204
52,7,255,0
52,7,255,51
52,7,255,102
52,7,255,153
52,7,255,204
52,12,0,0
52,12,0,51
52,12,0,102
52,12,0,153
52,12,0,204
52,12,51,0
52,12,51,51
52,12,51,102
52,12,51,153
52,12,51,204
52,12,102,0
52,12,102,51
52,12,102,102
52,12,102,153
52,12,102,204
52,12,102,255
52,12,153,0
52,12,153,51
52,12,153,102
52,12,153,153
52,12,153,204
52,12,153,255
52,12,204,0
52,12,204,51
52,12,204,102
52,12,204,153
52,12,204,204
52,12,204,255
52,12,255,0
52,12,255,51
52,12,255,102
52,12,255,153
52,12,255,204
52,12,255,255
52,17,0,0
52,17,0,51
52,17,0,102
52,17,0,153
52,17,0,204
52,17,0,255
52,17,51,0
52,17,51,51
52,17,51,102
52,17,51,153
52,17,51,204
52,17,51,255
52,17,102,0
52,17,102,51
52,17,102,102
52,17,102,153
52,17,102,204
52,17,102,255
52,17,153,0
52,17,153,51
52,17,153,102
52,17,153,153
52,17,153,204
52,17,153,255
52,17,204,0
52,17,204,51
52,17,204,102
52,17,204,153
52,17,204,204
52,17,204,255
52,17,255,0
52,17,255,51
52,17,255,102
52,17,255,153
52,17,255,204
52,17,255,255
52,22,0,0
52,22,0,51
52,22,0,102
52,22,0,153
52,22,0,204
52,22,0,255
52,22,51,0
52,22,51,51
52,22,51,102
52,22,51,153
52,22,51,204
52,22,51,255
52,22,102,0
52,22,102,51
52,22,102,102
52,22,102,153
52,22,102,204
52,22,102,255
52,22,153,0
52,22,153,51
52,22,153,102
52,22,153,153
52,22,153,204
52,22,153,255
52,22,204,0
52,22,204,51
52,22,204,102
52,22,204,153
52,22,204,204
52,22,204,255
52,22,255,0
52,22,255,51
52,22,255,102
52,22,255,153
52,22,255,204
52,22,255,255
52,27,0,0
52,27,0,51
52,27,0,102
52,27,0,153
52,27,0,204
52,27,0,255
52,27,51,0
52,27,51,51
52,27,51,102
52,27,51,153
52,27,51,204
52,27,51,255
52,27,102,0
52,27,102,51
52,27,102,102
52,27,102,153
52,27,102,204
52,27,102,255
52,27,153,0
52,27,153,51
52,27,153,102
52,27,153,153
52,27,153,204
52,27,153,255
52,27,204,0
52,27,204,51
52,27,204,102
52,27,204,153
52,27,204,204
52,27,204,255
52,27,255,0
52,27,255,51
52,27,255,102
52,27,255,153
52,27,255,204
52,27,255,255
52,32,0,0
52,32,0,51
52,32,0,102
52,32,0,153
52,32,0,204
52,32,0,255
52,32,51,0
52,32,51,51
52,32,51,102
52,32,51,153
52,32,51,204
52,32,51,255
52,32,102,0
52,32,102,51
52,32,102,102
52,32,102,153
52,32,102,204
52,32,102,255
52,32,153,0
52,32,153,51
52,32,153,102
52,32,153,153
52,32,153,204
52,32,153,255
52,32,204,0
52,32,204,51
52,32,204,102
52,32,204,153
52,32,204,204
52,32,204,255
52,32,255,0
52,32,255,51
52,32,255,102
52,32,255,153
52,32,255,204
52,32,255,255
52,37,0,0
52,37,0,51
52,37,0,102
52,37,0,153
52,37,0,204
52,37,0,255
52,37,51,0
52,37,51,51
52,37,51,102
52,37,51,153
52,37,51,204
52,37,51,255
52,37,102,0
52,37,102,51
52,37,102,102
52,37,102,153
52,37,102,204
52,37,102,255
52,37,153,0
52,37,153,51
52,37,153,102
52,37,153,153
52,37,153,204
52,37,153,255
52,37,204,0
52,37,204,51
52,37,204,102
52,37,204,153
52,37,204,204
52,37,204,255
52,37,255,0
52,37,255,51
52,37,255,102
52,37,255,153
52,37,255,204
52,37,255,255
52,42,0,0
52,42,0,51
52,42,0,102
52,42,0,153
52,42,0,204
52,42,0,255
52,42,51,0
52,42,51,51
52,42,51,102
52,42,51,153
52,42,51,204
52,42,51,255
52,42,102,0
52,42,102,51
52,42,102,102
52,42,102,153
52,42,102,204
52,42,102,255
52,42,153,0
52,42,153,51
52,42,153,102
52,42,153,153
52,42,153,204
52,42,153,255
52,42,204,0
52,42,204,51
52,42,204,102
52,42,204,153
52,42,204,204
52,42,204,255
52,42,255,0
52,42,255,51
52,42,255,102
52,42,255,153
52,42,255,204
52,42,255,255
52,47,0,0
52,47,0,51
52,47,0,102
52,47,0,153
52,47,0,204
52,47,0,255
52,47,51,0
52,47,51,51
52,47,51,102
52,47,51,153
52,47,51,204
52,47,51,255
52,47,102,0
52,47,102,51
52,47,102,102
52,47,102,153
52,47,102,204
52,47,102,255
52,47,153,0
52,47,153,51
52,47,153,102
52,47,153,153
52,47,153,204
52,47,153,255
52,47,204,0
52,47,204,51
52,47,204,102
52,47,204,153
52,47,204,204
52,47,204,255
52,47,255,0
52,47,255,51
52,47,255,102
52,47,255,153
52,47,255,204
52,47,255,255
52,52,0,0
52,52,0,51
52,52,0,102
52,52,0,153
52,52,0,204
52,52,51,0
52,52,51,51
52,52,51,102
52,52,51,153
52,52,51,204
52,52,102,0
52,52,102,51
52,52,102,102
52,52,102,153
52,52,102,204
52,52,153,0
52,52,153,51
52,52,153,102
52,52,153,153
52,52,153,204
52,52,204,0
52,52,204,51
52,52,204,102
52,52,204,153
52,52,204,204
52,52,255,0
52,52,255,51
52,52,255,102
52,52,255,153
52,52,255,204
52,57,0,0
52,57,0,51
52,57,0,102
52,57,0,153
52,57,0,204
52,57,51,0
52,57,51,51
52,57,51,102
52,57,51,153
52,57,51,204
52,57,102,0
52,57,102,51
52,57,102,102
52,57,102,153
52,57,102,204
52,57,153,0
52,57,153,51
52,57,153,102
52,57,153,153
52,57,153,204
52,57,204,0
52,57,204,51
52,57,204,102
52,57,204,153
52,57,204,204
52,57,255,0
52,57,255,51
52,57,255,102
52,57,255,153
52,57,255,204
61,0,0,0
61,0,0,51
61,0,0,102
61,0,51,0
61,0,51,51
61,0,51,102
61,0,102,0
61,0,102,51
61,0,102,102
61,0,153,0
61,0,153,51
61,0,153,102
61,0,204,0
61,0,204,51
61,0,204,102
61,0,255,0
61,0,255,51
61,0,255,102
61,6,0,0
61,6,0,51
61,6,0,102
61,6,51,0
61,6,51,51
61,6,51,102
61,6,51,153
61,6,51,204
61,6,102,0
61,6,102,51
61,6,102,102
61,6,102,153
61,6,102,204
61,6,153,0
61,6,153,51
61,6,153,102
61,6,153,153
61,6,153,204
61,6,204,0
61,6,204,51
61,6,204,102
61,6,204,153
61,6,204,204
61,6,255,0
61,6,255,51
61,6,255,102
61,6,255,153
61,6,255,204
